Issue_ID,Summary,Description,Status,Priority,Assignee,Reporter,Created_Date,Due_Date
ISSUE-17,Task summary 17,Detailed description of task 17,In Progress,Medium,user_8,user_9,2023-01-01 16:00:00,2023-02-01 16:00:00
ISSUE-18,Task summary 18,Detailed description of task 18,Done,Low,user_26,user_46,2023-01-01 17:00:00,2023-02-01 17:00:00
ISSUE-19,Task summary 19,Detailed description of task 19,In Progress,Low,user_24,user_42,2023-01-01 18:00:00,2023-02-01 18:00:00
ISSUE-20,Task summary 20,Detailed description of task 20,In Progress,Medium,user_15,user_26,2023-01-01 19:00:00,2023-02-01 19:00:00
ISSUE-21,Task summary 21,Detailed description of task 21,Done,High,user_3,user_4,2023-01-01 20:00:00,2023-02-01 20:00:00
ISSUE-22,Task summary 22,Detailed description of task 22,To Do,Low,user_32,user_44,2023-01-01 21:00:00,2023-02-01 21:00:00
ISSUE-23,Task summary 23,Detailed description of task 23,In Progress,High,user_43,user_50,2023-01-01 22:00:00,2023-02-01 22:00:00
ISSUE-24,Task summary 24,Detailed description of task 24,To Do,Medium,user_50,user_11,2023-01-01 23:00:00,2023-02-01 23:00:00
ISSUE-25,Task summary 25,Detailed description of task 25,Done,High,user_42,user_39,2023-01-02 00:00:00,2023-02-02 00:00:00
ISSUE-26,Task summary 26,Detailed description of task 26,In Progress,Medium,user_47,user_48,2023-01-02 01:00:00,2023-02-02 01:00:00
ISSUE-27,Task summary 27,Detailed description of task 27,Done,High,user_48,user_27,2023-01-02 02:00:00,2023-02-02 02:00:00
ISSUE-28,Task summary 28,Detailed description of task 28,To Do,High,user_21,user_37,2023-01-02 03:00:00,2023-02-02 03:00:00
ISSUE-29,Task summary 29,Detailed description of task 29,Done,Low,user_24,user_21,2023-01-02 04:00:00,2023-02-02 04:00:00
ISSUE-30,Task summary 30,Detailed description of task 30,To Do,Medium,user_5,user_18,2023-01-02 05:00:00,2023-02-02 05:00:00
ISSUE-31,Task summary 31,Detailed description of task 31,Done,Critical,user_37,user_6,2023-01-02 06:00:00,2023-02-02 06:00:00
ISSUE-32,Task summary 32,Detailed description of task 32,In Progress,Medium,user_36,user_22,2023-01-02 07:00:00,2023-02-02 07:00:00
ISSUE-33,Task summary 33,Detailed description of task 33,In Progress,Critical,user_13,user_16,2023-01-02 08:00:00,2023-02-02 08:00:00
ISSUE-34,Task summary 34,Detailed description of task 34,Done,Medium,user_15,user_31,2023-01-02 09:00:00,2023-02-02 09:00:00
ISSUE-35,Task summary 35,Detailed description of task 35,Done,Medium,user_24,user_1,2023-01-02 10:00:00,2023-02-02 10:00:00
ISSUE-36,Task summary 36,Detailed description of task 36,Done,Medium,user_21,user_31,2023-01-02 11:00:00,2023-02-02 11:00:00
ISSUE-37,Task summary 37,Detailed description of task 37,In Progress,High,user_18,user_13,2023-01-02 12:00:00,2023-02-02 12:00:00
ISSUE-38,Task summary 38,Detailed description of task 38,In Progress,Low,user_30,user_8,2023-01-02 13:00:00,2023-02-02 13:00:00
ISSUE-39,Task summary 39,Detailed description of task 39,In Progress,Critical,user_15,user_41,2023-01-02 14:00:00,2023-02-02 14:00:00
ISSUE-40,Task summary 40,Detailed description of task 40,To Do,Medium,user_4,user_9,2023-01-02 15:00:00,2023-02-02 15:00:00
ISSUE-41,Task summary 41,Detailed description of task 41,To Do,High,user_50,user_44,2023-01-02 16:00:00,2023-02-02 16:00:00
ISSUE-42,Task summary 42,Detailed description of task 42,In Progress,Medium,user_49,user_6,2023-01-02 17:00:00,2023-02-02 17:00:00
ISSUE-43,Task summary 43,Detailed description of task 43,To Do,Medium,user_42,user_15,2023-01-02 18:00:00,2023-02-02 18:00:00
ISSUE-44,Task summary 44,Detailed description of task 44,Done,Low,user_31,user_39,2023-01-02 19:00:00,2023-02-02 19:00:00
ISSUE-45,Task summary 45,Detailed description of task 45,Done,Medium,user_22,user_33,2023-01-02 20:00:00,2023-02-02 20:00:00
ISSUE-46,Task summary 46,Detailed description of task 46,In Progress,Critical,user_7,user_3,2023-01-02 21:00:00,2023-02-02 21:00:00
ISSUE-47,Task summary 47,Detailed description of task 47,In Progress,Low,user_4,user_35,2023-01-02 22:00:00,2023-02-02 22:00:00
ISSUE-48,Task summary 48,Detailed description of task 48,To Do,Medium,user_12,user_32,2023-01-02 23:00:00,2023-02-02 23:00:00
ISSUE-49,Task summary 49,Detailed description of task 49,To Do,Critical,user_19,user_7,2023-01-03 00:00:00,2023-02-03 00:00:00
ISSUE-50,Task summary 50,Detailed description of task 50,In Progress,High,user_49,user_46,2023-01-03 01:00:00,2023-02-03 01:00:00
ISSUE-51,Task summary 51,Detailed description of task 51,In Progress,Low,user_18,user_26,2023-01-03 02:00:00,2023-02-03 02:00:00
ISSUE-52,Task summary 52,Detailed description of task 52,To Do,High,user_29,user_49,2023-01-03 03:00:00,2023-02-03 03:00:00
ISSUE-53,Task summary 53,Detailed description of task 53,In Progress,Low,user_9,user_46,2023-01-03 04:00:00,2023-02-03 04:00:00
ISSUE-54,Task summary 54,Detailed description of task 54,In Progress,Low,user_42,user_39,2023-01-03 05:00:00,2023-02-03 05:00:00
ISSUE-55,Task summary 55,Detailed description of task 55,To Do,High,user_36,user_33,2023-01-03 06:00:00,2023-02-03 06:00:00
ISSUE-56,Task summary 56,Detailed description of task 56,Done,High,user_48,user_36,2023-01-03 07:00:00,2023-02-03 07:00:00
ISSUE-57,Task summary 57,Detailed description of task 57,Done,High,user_41,user_48,2023-01-03 08:00:00,2023-02-03 08:00:00
ISSUE-58,Task summary 58,Detailed description of task 58,To Do,Medium,user_27,user_37,2023-01-03 09:00:00,2023-02-03 09:00:00
ISSUE-59,Task summary 59,Detailed description of task 59,To Do,High,user_35,user_10,2023-01-03 10:00:00,2023-02-03 10:00:00
ISSUE-60,Task summary 60,Detailed description of task 60,In Progress,High,user_11,user_25,2023-01-03 11:00:00,2023-02-03 11:00:00
ISSUE-61,Task summary 61,Detailed description of task 61,To Do,Medium,user_4,user_30,2023-01-03 12:00:00,2023-02-03 12:00:00
ISSUE-62,Task summary 62,Detailed description of task 62,Done,Medium,user_14,user_47,2023-01-03 13:00:00,2023-02-03 13:00:00
ISSUE-63,Task summary 63,Detailed description of task 63,Done,Critical,user_6,user_47,2023-01-03 14:00:00,2023-02-03 14:00:00
ISSUE-64,Task summary 64,Detailed description of task 64,In Progress,High,user_46,user_30,2023-01-03 15:00:00,2023-02-03 15:00:00
ISSUE-65,Task summary 65,Detailed description of task 65,Done,High,user_13,user_18,2023-01-03 16:00:00,2023-02-03 16:00:00
ISSUE-66,Task summary 66,Detailed description of task 66,In Progress,Medium,user_1,user_31,2023-01-03 17:00:00,2023-02-03 17:00:00
ISSUE-67,Task summary 67,Detailed description of task 67,To Do,Low,user_37,user_16,2023-01-03 18:00:00,2023-02-03 18:00:00
ISSUE-68,Task summary 68,Detailed description of task 68,In Progress,Medium,user_16,user_15,2023-01-03 19:00:00,2023-02-03 19:00:00
ISSUE-69,Task summary 69,Detailed description of task 69,To Do,Critical,user_24,user_40,2023-01-03 20:00:00,2023-02-03 20:00:00
ISSUE-70,Task summary 70,Detailed description of task 70,In Progress,Medium,user_12,user_25,2023-01-03 21:00:00,2023-02-03 21:00:00
ISSUE-71,Task summary 71,Detailed description of task 71,Done,Critical,user_23,user_30,2023-01-03 22:00:00,2023-02-03 22:00:00
ISSUE-72,Task summary 72,Detailed description of task 72,To Do,High,user_49,user_22,2023-01-03 23:00:00,2023-02-03 23:00:00
ISSUE-73,Task summary 73,Detailed description of task 73,To Do,Critical,user_10,user_4,2023-01-04 00:00:00,2023-02-04 00:00:00
ISSUE-74,Task summary 74,Detailed description of task 74,To Do,High,user_42,user_50,2023-01-04 01:00:00,2023-02-04 01:00:00
ISSUE-75,Task summary 75,Detailed description of task 75,In Progress,Critical,user_30,user_38,2023-01-04 02:00:00,2023-02-04 02:00:00
ISSUE-76,Task summary 76,Detailed description of task 76,Done,Low,user_1,user_34,2023-01-04 03:00:00,2023-02-04 03:00:00
ISSUE-77,Task summary 77,Detailed description of task 77,In Progress,Critical,user_30,user_32,2023-01-04 04:00:00,2023-02-04 04:00:00
ISSUE-78,Task summary 78,Detailed description of task 78,To Do,Critical,user_20,user_27,2023-01-04 05:00:00,2023-02-04 05:00:00
ISSUE-79,Task summary 79,Detailed description of task 79,To Do,High,user_14,user_50,2023-01-04 06:00:00,2023-02-04 06:00:00
ISSUE-80,Task summary 80,Detailed description of task 80,Done,High,user_48,user_27,2023-01-04 07:00:00,2023-02-04 07:00:00
ISSUE-81,Task summary 81,Detailed description of task 81,To Do,High,user_36,user_29,2023-01-04 08:00:00,2023-02-04 08:00:00
ISSUE-82,Task summary 82,Detailed description of task 82,In Progress,Low,user_2,user_31,2023-01-04 09:00:00,2023-02-04 09:00:00
ISSUE-83,Task summary 83,Detailed description of task 83,In Progress,Low,user_42,user_21,2023-01-04 10:00:00,2023-02-04 10:00:00
ISSUE-84,Task summary 84,Detailed description of task 84,Done,Critical,user_34,user_26,2023-01-04 11:00:00,2023-02-04 11:00:00
ISSUE-85,Task summary 85,Detailed description of task 85,Done,Critical,user_17,user_40,2023-01-04 12:00:00,2023-02-04 12:00:00
ISSUE-86,Task summary 86,Detailed description of task 86,Done,Medium,user_50,user_34,2023-01-04 13:00:00,2023-02-04 13:00:00
ISSUE-87,Task summary 87,Detailed description of task 87,In Progress,Medium,user_26,user_6,2023-01-04 14:00:00,2023-02-04 14:00:00
ISSUE-88,Task summary 88,Detailed description of task 88,To Do,Low,user_1,user_6,2023-01-04 15:00:00,2023-02-04 15:00:00
ISSUE-89,Task summary 89,Detailed description of task 89,Done,Medium,user_20,user_4,2023-01-04 16:00:00,2023-02-04 16:00:00
ISSUE-90,Task summary 90,Detailed description of task 90,In Progress,Low,user_49,user_39,2023-01-04 17:00:00,2023-02-04 17:00:00
ISSUE-91,Task summary 91,Detailed description of task 91,To Do,High,user_20,user_2,2023-01-04 18:00:00,2023-02-04 18:00:00
ISSUE-92,Task summary 92,Detailed description of task 92,Done,Low,user_22,user_49,2023-01-04 19:00:00,2023-02-04 19:00:00
ISSUE-93,Task summary 93,Detailed description of task 93,In Progress,Critical,user_6,user_10,2023-01-04 20:00:00,2023-02-04 20:00:00
ISSUE-94,Task summary 94,Detailed description of task 94,In Progress,Critical,user_27,user_32,2023-01-04 21:00:00,2023-02-04 21:00:00
ISSUE-95,Task summary 95,Detailed description of task 95,In Progress,High,user_39,user_1,2023-01-04 22:00:00,2023-02-04 22:00:00
ISSUE-96,Task summary 96,Detailed description of task 96,In Progress,Medium,user_45,user_28,2023-01-04 23:00:00,2023-02-04 23:00:00
ISSUE-97,Task summary 97,Detailed description of task 97,In Progress,Medium,user_40,user_23,2023-01-05 00:00:00,2023-02-05 00:00:00
ISSUE-98,Task summary 98,Detailed description of task 98,To Do,High,user_20,user_45,2023-01-05 01:00:00,2023-02-05 01:00:00
ISSUE-99,Task summary 99,Detailed description of task 99,In Progress,Low,user_37,user_49,2023-01-05 02:00:00,2023-02-05 02:00:00
ISSUE-100,Task summary 100,Detailed description of task 100,Done,Medium,user_48,user_45,2023-01-05 03:00:00,2023-02-05 03:00:00
ISSUE-101,Task summary 101,Detailed description of task 101,Done,Low,user_32,user_43,2023-01-05 04:00:00,2023-02-05 04:00:00
ISSUE-102,Task summary 102,Detailed description of task 102,In Progress,Low,user_49,user_37,2023-01-05 05:00:00,2023-02-05 05:00:00
ISSUE-103,Task summary 103,Detailed description of task 103,In Progress,Low,user_20,user_34,2023-01-05 06:00:00,2023-02-05 06:00:00
ISSUE-104,Task summary 104,Detailed description of task 104,In Progress,Critical,user_38,user_37,2023-01-05 07:00:00,2023-02-05 07:00:00
ISSUE-105,Task summary 105,Detailed description of task 105,Done,Medium,user_1,user_6,2023-01-05 08:00:00,2023-02-05 08:00:00
ISSUE-106,Task summary 106,Detailed description of task 106,To Do,Medium,user_42,user_1,2023-01-05 09:00:00,2023-02-05 09:00:00
ISSUE-107,Task summary 107,Detailed description of task 107,In Progress,High,user_5,user_5,2023-01-05 10:00:00,2023-02-05 10:00:00
ISSUE-108,Task summary 108,Detailed description of task 108,Done,Low,user_21,user_41,2023-01-05 11:00:00,2023-02-05 11:00:00
ISSUE-109,Task summary 109,Detailed description of task 109,Done,Low,user_23,user_36,2023-01-05 12:00:00,2023-02-05 12:00:00
ISSUE-110,Task summary 110,Detailed description of task 110,Done,Critical,user_25,user_21,2023-01-05 13:00:00,2023-02-05 13:00:00
ISSUE-111,Task summary 111,Detailed description of task 111,Done,Medium,user_22,user_13,2023-01-05 14:00:00,2023-02-05 14:00:00
ISSUE-112,Task summary 112,Detailed description of task 112,To Do,Critical,user_4,user_3,2023-01-05 15:00:00,2023-02-05 15:00:00
ISSUE-113,Task summary 113,Detailed description of task 113,Done,Critical,user_34,user_50,2023-01-05 16:00:00,2023-02-05 16:00:00
ISSUE-114,Task summary 114,Detailed description of task 114,To Do,High,user_8,user_33,2023-01-05 17:00:00,2023-02-05 17:00:00
ISSUE-115,Task summary 115,Detailed description of task 115,In Progress,Low,user_20,user_22,2023-01-05 18:00:00,2023-02-05 18:00:00
ISSUE-116,Task summary 116,Detailed description of task 116,Done,Medium,user_47,user_30,2023-01-05 19:00:00,2023-02-05 19:00:00
ISSUE-117,Task summary 117,Detailed description of task 117,Done,High,user_45,user_24,2023-01-05 20:00:00,2023-02-05 20:00:00
ISSUE-118,Task summary 118,Detailed description of task 118,In Progress,Low,user_29,user_27,2023-01-05 21:00:00,2023-02-05 21:00:00
ISSUE-119,Task summary 119,Detailed description of task 119,Done,Critical,user_23,user_50,2023-01-05 22:00:00,2023-02-05 22:00:00
ISSUE-120,Task summary 120,Detailed description of task 120,In Progress,Low,user_32,user_15,2023-01-05 23:00:00,2023-02-05 23:00:00
ISSUE-121,Task summary 121,Detailed description of task 121,Done,Critical,user_23,user_30,2023-01-06 00:00:00,2023-02-06 00:00:00
ISSUE-122,Task summary 122,Detailed description of task 122,To Do,High,user_45,user_37,2023-01-06 01:00:00,2023-02-06 01:00:00
ISSUE-123,Task summary 123,Detailed description of task 123,In Progress,Medium,user_13,user_31,2023-01-06 02:00:00,2023-02-06 02:00:00
ISSUE-124,Task summary 124,Detailed description of task 124,In Progress,Low,user_25,user_42,2023-01-06 03:00:00,2023-02-06 03:00:00
ISSUE-125,Task summary 125,Detailed description of task 125,Done,Low,user_24,user_5,2023-01-06 04:00:00,2023-02-06 04:00:00
ISSUE-126,Task summary 126,Detailed description of task 126,In Progress,Low,user_32,user_6,2023-01-06 05:00:00,2023-02-06 05:00:00
ISSUE-127,Task summary 127,Detailed description of task 127,In Progress,Low,user_50,user_37,2023-01-06 06:00:00,2023-02-06 06:00:00
ISSUE-128,Task summary 128,Detailed description of task 128,To Do,High,user_42,user_42,2023-01-06 07:00:00,2023-02-06 07:00:00
ISSUE-129,Task summary 129,Detailed description of task 129,Done,Critical,user_28,user_38,2023-01-06 08:00:00,2023-02-06 08:00:00
ISSUE-130,Task summary 130,Detailed description of task 130,In Progress,Critical,user_34,user_42,2023-01-06 09:00:00,2023-02-06 09:00:00
ISSUE-131,Task summary 131,Detailed description of task 131,To Do,High,user_46,user_37,2023-01-06 10:00:00,2023-02-06 10:00:00
ISSUE-132,Task summary 132,Detailed description of task 132,To Do,Low,user_12,user_26,2023-01-06 11:00:00,2023-02-06 11:00:00
ISSUE-133,Task summary 133,Detailed description of task 133,In Progress,Critical,user_5,user_9,2023-01-06 12:00:00,2023-02-06 12:00:00
ISSUE-134,Task summary 134,Detailed description of task 134,To Do,Low,user_48,user_39,2023-01-06 13:00:00,2023-02-06 13:00:00
ISSUE-135,Task summary 135,Detailed description of task 135,In Progress,Low,user_25,user_36,2023-01-06 14:00:00,2023-02-06 14:00:00
ISSUE-136,Task summary 136,Detailed description of task 136,Done,Critical,user_25,user_47,2023-01-06 15:00:00,2023-02-06 15:00:00
ISSUE-137,Task summary 137,Detailed description of task 137,To Do,Low,user_38,user_11,2023-01-06 16:00:00,2023-02-06 16:00:00
ISSUE-138,Task summary 138,Detailed description of task 138,Done,Medium,user_25,user_16,2023-01-06 17:00:00,2023-02-06 17:00:00
ISSUE-139,Task summary 139,Detailed description of task 139,To Do,Critical,user_11,user_5,2023-01-06 18:00:00,2023-02-06 18:00:00
ISSUE-140,Task summary 140,Detailed description of task 140,Done,Medium,user_46,user_41,2023-01-06 19:00:00,2023-02-06 19:00:00
ISSUE-141,Task summary 141,Detailed description of task 141,Done,Low,user_35,user_17,2023-01-06 20:00:00,2023-02-06 20:00:00
ISSUE-142,Task summary 142,Detailed description of task 142,Done,High,user_41,user_8,2023-01-06 21:00:00,2023-02-06 21:00:00
ISSUE-143,Task summary 143,Detailed description of task 143,Done,Medium,user_14,user_17,2023-01-06 22:00:00,2023-02-06 22:00:00
ISSUE-144,Task summary 144,Detailed description of task 144,Done,Low,user_1,user_7,2023-01-06 23:00:00,2023-02-06 23:00:00
ISSUE-145,Task summary 145,Detailed description of task 145,To Do,Low,user_34,user_15,2023-01-07 00:00:00,2023-02-07 00:00:00
ISSUE-146,Task summary 146,Detailed description of task 146,To Do,High,user_29,user_32,2023-01-07 01:00:00,2023-02-07 01:00:00
ISSUE-147,Task summary 147,Detailed description of task 147,Done,Critical,user_14,user_9,2023-01-07 02:00:00,2023-02-07 02:00:00
ISSUE-148,Task summary 148,Detailed description of task 148,Done,High,user_32,user_31,2023-01-07 03:00:00,2023-02-07 03:00:00
ISSUE-149,Task summary 149,Detailed description of task 149,Done,Low,user_41,user_41,2023-01-07 04:00:00,2023-02-07 04:00:00
ISSUE-150,Task summary 150,Detailed description of task 150,In Progress,High,user_44,user_42,2023-01-07 05:00:00,2023-02-07 05:00:00
ISSUE-151,Task summary 151,Detailed description of task 151,In Progress,Critical,user_2,user_21,2023-01-07 06:00:00,2023-02-07 06:00:00
ISSUE-152,Task summary 152,Detailed description of task 152,Done,Low,user_47,user_34,2023-01-07 07:00:00,2023-02-07 07:00:00
ISSUE-153,Task summary 153,Detailed description of task 153,Done,High,user_20,user_35,2023-01-07 08:00:00,2023-02-07 08:00:00
ISSUE-154,Task summary 154,Detailed description of task 154,To Do,Critical,user_50,user_26,2023-01-07 09:00:00,2023-02-07 09:00:00
ISSUE-155,Task summary 155,Detailed description of task 155,To Do,Critical,user_41,user_48,2023-01-07 10:00:00,2023-02-07 10:00:00
ISSUE-156,Task summary 156,Detailed description of task 156,Done,Low,user_19,user_16,2023-01-07 11:00:00,2023-02-07 11:00:00
ISSUE-157,Task summary 157,Detailed description of task 157,To Do,Critical,user_17,user_3,2023-01-07 12:00:00,2023-02-07 12:00:00
ISSUE-158,Task summary 158,Detailed description of task 158,Done,Critical,user_19,user_37,2023-01-07 13:00:00,2023-02-07 13:00:00
ISSUE-159,Task summary 159,Detailed description of task 159,To Do,High,user_23,user_18,2023-01-07 14:00:00,2023-02-07 14:00:00
ISSUE-160,Task summary 160,Detailed description of task 160,Done,Low,user_15,user_49,2023-01-07 15:00:00,2023-02-07 15:00:00
ISSUE-161,Task summary 161,Detailed description of task 161,Done,Critical,user_16,user_14,2023-01-07 16:00:00,2023-02-07 16:00:00
ISSUE-162,Task summary 162,Detailed description of task 162,In Progress,Critical,user_39,user_49,2023-01-07 17:00:00,2023-02-07 17:00:00
ISSUE-163,Task summary 163,Detailed description of task 163,Done,Low,user_48,user_15,2023-01-07 18:00:00,2023-02-07 18:00:00
ISSUE-164,Task summary 164,Detailed description of task 164,To Do,Critical,user_41,user_5,2023-01-07 19:00:00,2023-02-07 19:00:00
ISSUE-165,Task summary 165,Detailed description of task 165,Done,High,user_44,user_7,2023-01-07 20:00:00,2023-02-07 20:00:00
ISSUE-166,Task summary 166,Detailed description of task 166,In Progress,Low,user_12,user_6,2023-01-07 21:00:00,2023-02-07 21:00:00
ISSUE-167,Task summary 167,Detailed description of task 167,In Progress,Critical,user_28,user_11,2023-01-07 22:00:00,2023-02-07 22:00:00
ISSUE-168,Task summary 168,Detailed description of task 168,In Progress,Medium,user_46,user_21,2023-01-07 23:00:00,2023-02-07 23:00:00
ISSUE-169,Task summary 169,Detailed description of task 169,To Do,Critical,user_2,user_48,2023-01-08 00:00:00,2023-02-08 00:00:00
ISSUE-170,Task summary 170,Detailed description of task 170,To Do,Critical,user_6,user_24,2023-01-08 01:00:00,2023-02-08 01:00:00
ISSUE-171,Task summary 171,Detailed description of task 171,To Do,Low,user_27,user_42,2023-01-08 02:00:00,2023-02-08 02:00:00
ISSUE-172,Task summary 172,Detailed description of task 172,To Do,Critical,user_3,user_7,2023-01-08 03:00:00,2023-02-08 03:00:00
ISSUE-173,Task summary 173,Detailed description of task 173,In Progress,Medium,user_11,user_26,2023-01-08 04:00:00,2023-02-08 04:00:00
ISSUE-174,Task summary 174,Detailed description of task 174,Done,Medium,user_22,user_17,2023-01-08 05:00:00,2023-02-08 05:00:00
ISSUE-175,Task summary 175,Detailed description of task 175,To Do,Medium,user_38,user_29,2023-01-08 06:00:00,2023-02-08 06:00:00
ISSUE-176,Task summary 176,Detailed description of task 176,To Do,Medium,user_46,user_40,2023-01-08 07:00:00,2023-02-08 07:00:00
ISSUE-177,Task summary 177,Detailed description of task 177,To Do,Medium,user_33,user_9,2023-01-08 08:00:00,2023-02-08 08:00:00
ISSUE-178,Task summary 178,Detailed description of task 178,Done,Critical,user_13,user_5,2023-01-08 09:00:00,2023-02-08 09:00:00
ISSUE-179,Task summary 179,Detailed description of task 179,To Do,Critical,user_25,user_25,2023-01-08 10:00:00,2023-02-08 10:00:00
ISSUE-180,Task summary 180,Detailed description of task 180,In Progress,Medium,user_21,user_45,2023-01-08 11:00:00,2023-02-08 11:00:00
ISSUE-181,Task summary 181,Detailed description of task 181,Done,Medium,user_20,user_23,2023-01-08 12:00:00,2023-02-08 12:00:00
ISSUE-182,Task summary 182,Detailed description of task 182,Done,Low,user_14,user_50,2023-01-08 13:00:00,2023-02-08 13:00:00
ISSUE-183,Task summary 183,Detailed description of task 183,In Progress,High,user_12,user_22,2023-01-08 14:00:00,2023-02-08 14:00:00
ISSUE-184,Task summary 184,Detailed description of task 184,To Do,Low,user_26,user_8,2023-01-08 15:00:00,2023-02-08 15:00:00
ISSUE-185,Task summary 185,Detailed description of task 185,To Do,Medium,user_5,user_41,2023-01-08 16:00:00,2023-02-08 16:00:00
ISSUE-186,Task summary 186,Detailed description of task 186,Done,High,user_23,user_48,2023-01-08 17:00:00,2023-02-08 17:00:00
ISSUE-187,Task summary 187,Detailed description of task 187,Done,High,user_2,user_12,2023-01-08 18:00:00,2023-02-08 18:00:00
ISSUE-188,Task summary 188,Detailed description of task 188,To Do,Critical,user_32,user_37,2023-01-08 19:00:00,2023-02-08 19:00:00
ISSUE-189,Task summary 189,Detailed description of task 189,In Progress,High,user_6,user_12,2023-01-08 20:00:00,2023-02-08 20:00:00
ISSUE-190,Task summary 190,Detailed description of task 190,Done,Medium,user_36,user_7,2023-01-08 21:00:00,2023-02-08 21:00:00
ISSUE-191,Task summary 191,Detailed description of task 191,To Do,High,user_14,user_6,2023-01-08 22:00:00,2023-02-08 22:00:00
ISSUE-192,Task summary 192,Detailed description of task 192,Done,Medium,user_33,user_29,2023-01-08 23:00:00,2023-02-08 23:00:00
ISSUE-193,Task summary 193,Detailed description of task 193,Done,High,user_18,user_35,2023-01-09 00:00:00,2023-02-09 00:00:00
ISSUE-194,Task summary 194,Detailed description of task 194,In Progress,Critical,user_45,user_49,2023-01-09 01:00:00,2023-02-09 01:00:00
ISSUE-195,Task summary 195,Detailed description of task 195,To Do,High,user_11,user_15,2023-01-09 02:00:00,2023-02-09 02:00:00
ISSUE-196,Task summary 196,Detailed description of task 196,To Do,Critical,user_7,user_32,2023-01-09 03:00:00,2023-02-09 03:00:00
ISSUE-197,Task summary 197,Detailed description of task 197,Done,Medium,user_31,user_46,2023-01-09 04:00:00,2023-02-09 04:00:00
ISSUE-198,Task summary 198,Detailed description of task 198,To Do,Critical,user_32,user_31,2023-01-09 05:00:00,2023-02-09 05:00:00
ISSUE-199,Task summary 199,Detailed description of task 199,To Do,Medium,user_8,user_42,2023-01-09 06:00:00,2023-02-09 06:00:00
ISSUE-200,Task summary 200,Detailed description of task 200,To Do,Low,user_46,user_7,2023-01-09 07:00:00,2023-02-09 07:00:00
ISSUE-201,Task summary 201,Detailed description of task 201,In Progress,Medium,user_43,user_29,2023-01-09 08:00:00,2023-02-09 08:00:00
ISSUE-202,Task summary 202,Detailed description of task 202,To Do,Medium,user_46,user_31,2023-01-09 09:00:00,2023-02-09 09:00:00
ISSUE-203,Task summary 203,Detailed description of task 203,To Do,Critical,user_33,user_38,2023-01-09 10:00:00,2023-02-09 10:00:00
ISSUE-204,Task summary 204,Detailed description of task 204,In Progress,Medium,user_9,user_20,2023-01-09 11:00:00,2023-02-09 11:00:00
ISSUE-205,Task summary 205,Detailed description of task 205,To Do,Medium,user_50,user_10,2023-01-09 12:00:00,2023-02-09 12:00:00
ISSUE-206,Task summary 206,Detailed description of task 206,In Progress,Low,user_38,user_18,2023-01-09 13:00:00,2023-02-09 13:00:00
ISSUE-207,Task summary 207,Detailed description of task 207,To Do,High,user_39,user_2,2023-01-09 14:00:00,2023-02-09 14:00:00
ISSUE-208,Task summary 208,Detailed description of task 208,In Progress,Medium,user_27,user_43,2023-01-09 15:00:00,2023-02-09 15:00:00
ISSUE-209,Task summary 209,Detailed description of task 209,Done,Low,user_43,user_23,2023-01-09 16:00:00,2023-02-09 16:00:00
ISSUE-210,Task summary 210,Detailed description of task 210,To Do,Low,user_21,user_16,2023-01-09 17:00:00,2023-02-09 17:00:00
